timestamp,service_name,request_count,error_rate,avg_latency_ms,cpu_utilization,memory_utilization,anomaly_flag,anomaly
2026-01-01T00:00:00,payments-api,1180,0.02,175,54,63,1,normal
2026-01-01T00:01:00,orders-api,1235,0.03,182,57,61,1,normal
2026-01-01T00:02:00,auth-service,1102,0.01,169,49,58,1,normal
2026-01-01T00:03:00,catalog-service,1305,0.02,188,59,65,1,normal
2026-01-01T00:04:00,payments-api,1198,0.02,177,55,62,1,normal
2026-01-01T00:05:00,orders-api,1251,0.03,190,58,64,1,normal
2026-01-01T00:06:00,auth-service,1120,0.01,171,50,57,1,normal
2026-01-01T00:07:00,catalog-service,1288,0.02,186,60,66,1,normal
2026-01-01T00:08:00,payments-api,1700,0.16,540,85,89,-1,anomaly
2026-01-01T00:09:00,orders-api,1214,0.02,181,56,62,1,normal
2026-01-01T00:10:00,auth-service,1094,0.01,168,48,56,-1,anomaly
2026-01-01T00:11:00,catalog-service,1311,0.02,187,61,67,1,normal
2026-01-01T00:12:00,payments-api,1169,0.02,176,55,63,1,normal
2026-01-01T00:13:00,orders-api,1244,0.03,191,58,64,1,normal
2026-01-01T00:14:00,auth-service,1111,0.01,170,49,57,1,normal
2026-01-01T00:15:00,catalog-service,1295,0.02,185,60,65,1,normal
